Ульяновск|пр-кт Нариманова|21|1|пр-кт Нариманова, дома 17, 19, 21, 23, ул. Ватутина, дома 8, 10, 12, 11/1, 13, пер. Ватутина, дом 8, ул. Немировича-Данченко, дом 5
Ульяновск|пр-кт Нариманова|43|3|пр-кт Нариманова, дома 41, 43, 45, 47, ул. Ватутина, дома 34, 36, 44, 3 пер. Зои Космодемьянской, дом 3
Ульяновск|пр-кт Нариманова|71|5|пр-кт Нариманова, дома 67, 69, 71, 73, ул. Ватутина, дом 64
Ульяновск|пр-кт Нариманова|76|4|пр-кт Нариманова, дома 74, 76, 78, 82, 84, 88, ул. Гафурова, дома 11, 11а, 16, 18, ул. Докучаева, дом 2
Ульяновск|пр-кт Нариманова|112|4|пр-кт Нариманова, дома 110, 112, 114, ул. Гафурова, дома 43, 45, 47, ул. Орджоникидзе, дом 1
Ульяновск|пр-кт Нариманова|136|2|пр-кт Нариманова, дом 136
Ульяновск|пр-кт Нариманова|138|2|пр-кт Нариманова, дом 138
Ульяновск|пр-кт Нариманова|140|2|пр-кт Нариманова, дом 140
Ульяновск|пр-кт Нариманова|142|2|пр-кт Нариманова, дом 142
Ульяновск|пр-кт Туполева|3|1|пр-кт Туполева, дом 3
Ульяновск|пр-т Дружбы Народов|19|1|
Ульяновск|пр-т Дружбы Народов|19|1|
Ульяновск|пр-т Ливанова|30|2|
Ульяновск|пр-т Маршала Устинова|26|2|пр-т Маршала Устинова, 26
Ульяновск|пр-т Маршала Устинова|24|2|пр-т Маршала Устинова, 24
Ульяновск|спуск Минаева|18|3|спуск Минаева, ул. Свободы, ул. Каштанкина
Ульяновск|спуск Степана Разина|26|1|спуск Степана Разина, дом 26
Ульяновск|спуск Халтурина|12|1|спуск Халтурина, дом 12
Ульяновск|УКСМ|13|3|УКСМ, дом 13
Ульяновск|ул. 1 Мая|18|1|ул. 1 Мая
Ульяновск|ул. 1 Мая|23|1|ул. 1 Мая, пер.1 Мая
Ульяновск|ул. 12 Сентября|83|5|ул. 12 Сентября, дома 83, 87, 85, ул. Малосаратовская, дома 5, 7, 8
Ульяновск|ул. 12 Сентября|91/1||ул. 12 Сентября, д. 91/1
Ульяновск|ул. 154 Стрелковой Дивизии|52|2|ул. 154 Стрелковой Дивизии, дом 52
Ульяновск|ул. 154 Стрелковой Дивизии|58|2|ул. 154 Стрелковой Дивизии, дома № 54, 56, 58
Ульяновск|ул. 4 Пятилетки|19|1|ул. 4 пятилетки
Ульяновск|ул. 40-летия Октября|25||пр-д Мендеева, дом 11, ул. 40-летия Октября, дома 25, 31
Ульяновск|ул. 40-летия Октября|36|1|ул. 40-летия Октября, ул. 9 Мая
Ульяновск|ул. 40-летия Октября|56|1|ул. 40-летия Октября, ул. 9 Мая, ул. Тельмана
Ульяновск|ул. 40-летия Октября (Оренбургская, д. 34 А )|136||ул. 40 летия-Октября, ул. Оренбургская, ул. Калининградская, 2 пер. Калининградский, 2 пер. Гладышева, 3 пер. Гладышева, 4 пер. Гладышева
Ульяновск|ул. 8 Марта|7|2|ул. 8 Марта, дома 7, 8, 9, ул. 9 Мая, дома 8, 10, 11, 12, 13, 14, 15, 16, 17, ул. Жуковского, дома 9, 11, 17, 19
Ульяновск|ул. 9 Мая|2|2|ул. 9 Мая, дома 1, 2, 3, 4, 5, 6, 7, 8, 9, ул. Жуковского, дома 1, 5, 7,            ул. Димитрова, дом 13
Ульяновск|ул. 9 Мая|42|2|ул. 9 Мая, дома 33, 35, 37, 38, 39, 40, 41, 42, 43, ул. Жуковского, дома 39, 41, 43
Ульяновск|ул. 9 Мая|56|2|ул. 9 Мая, дома 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61,            ул. Жуковского, дома 47, 49, 51, 52, 55, 57
Ульяновск|ул. Аблукова|15|6|ул. Пушкарева, дом 6а, ул. Аблукова, дом 15
Ульяновск|ул. Аблукова|10|4|
Ульяновск|ул. Аблукова|6|4|
Ульяновск|ул. Аблукова|16|4|ул. Аблукова, дом 16, 18
Ульяновск|ул. Аблукова|18|4|ул. Аблукова, дом 18, 20
Ульяновск|ул. Аблукова|20|4|ул. Аблукова, дом 18, 20
Ульяновск|ул. Автозаводская|30|2|ул. Ростовская, дома 19, 21, 23, 25, 27, 29, 31, 33, 26, ул. Автозаводская, дома 30, 32, 34, ул. Октябрьская, дома 4, 4а, 6, 8
Ульяновск|ул. Автозаводская|37|2|ул. Автозаводская, дома 33, 35, 37, 37а, 39
Ульяновск|ул. Автомобилистов|7а|4|ул. Автомобилистов, дом 7а
Ульяновск|ул. Азовская|84б|1|ул. Азовская, дом 84 Б
Ульяновск|ул. Академика Павлова|18|3|ул. Академика Павлова, дом 18
Ульяновск|ул. Академика Павлова|59|1|ул. Академика Павлова, дома 59, 64
Ульяновск|ул. Академика Павлова|81||ул. Академика Павлова, дома 73, 75, 77, 79, 81, 83
Ульяновск|ул. Академика Павлова|109|1|ул. Академика Павлова, дома 107, 109, 113, 117
Ульяновск|ул. Академика Павлова|19|1|ул. Академика Павлова, ул. Майская гора, ул. Крайняя, пер. Крайний
Ульяновск|ул. Академика Сахарова|14|2|ул. Академика Сахарова, дома 6, 8, 10, 12, 14, 16, 18
Ульяновск|ул. Александра Матросова|26|2|ул. Ленина, дома 77, 79, 108, 122, 140, ул. Александра Матросова, дом 17, 19, 20, 21, 22, 23
Ульяновск|ул. Александра Невского|2б|4|ул. Александра Невского, дом 2 Б к. 1
Ульяновск|ул. Александра Невского|2б|4|ул. Александра Невского, дом 2 Б к. 2
Ульяновск|ул. Александра Невского|2б|4|ул. Александра Невского, дом 2 Б к. 3
Ульяновск|ул. Александра Невского|2б|4|ул. Александра Невского, дом 2 Б к. 4
Ульяновск|ул. Александра Невского|2б|4|ул. Александра Невского, дом 2 Б к. 5
Ульяновск|ул. Александра Невского|103|2|ул. Александра Невского, дом 103
Ульяновск|ул. Александровская|54|1|ул. Александровская 50, 52, 54, 56
Ульяновск|ул. Артема|20|4|ул. Артема
Ульяновск|ул. Балтийская|5||ул. Балтийская, дома 1, 5, 8, 9
Ульяновск|ул. Балтийская|13|3|ул. Балтийская, дома 10, 11, 12, 13
Ульяновск|ул. Балтийская|16|1|ул. Балтийская, дома 15, 16
Ульяновск|ул. Балтийская|17|2|ул. Балтийская, дома 7, 17, 23
Ульяновск|ул. Балтийская|24||ул. Балтийская, дом 24
Ульяновск|ул. Бари Тарханова|40|1|ул. Бари Тарханова, дом 40
Ульяновск|ул. Бари Тарханова|51|1|ул. Бари Тарханова, дом 51
Ульяновск|ул. Бари Тарханова|18|1|
Ульяновск|ул. Бари Тарханова|78|1|
Ульяновск|ул. Бари Тарханова|54|1|
Ульяновск|ул. Баумана|13|1|ул. Баумана
Ульяновск|ул. Баумана|99|2|ул. Баумана
Ульяновск|ул. Баумана|121|2|ул. Баумана
Ульяновск|ул. Бебеля|16|2|ул. Бебеля, дом 16
Ульяновск|ул. Бебеля|36|2|ул. Бебеля, дома 18, 29, 36
Ульяновск|ул. Бебеля|40а|1|ул. Бебеля
Ульяновск|ул. Бебеля|52|1|ул. Бебеля
Ульяновск|ул. Белинского|14|3|ул. Белинского
Ульяновск|ул. Белинского|26|2|ул. Белинского
Ульяновск|ул. Белинского|53|2|ул. Белинского
Ульяновск|ул. Белинского|82|2|ул. Белинского
Ульяновск|ул. Беляева|65|1|ул. Беляева, 65
Ульяновск|ул. Богдана Хитрово|94|2|ул. Богдана Хитрово
Ульяновск|ул. Богдана Хитрово|131|1|ул. Александровская 159, 161, 165, 167, 169, 171, 173, ул.Богдана Хитрово, 131
Ульяновск|ул. Богдана Хмельницкого|2а|2|ул. Богдана Хмельницкого, дом 2а
Ульяновск|ул. Бородина||4|ул. Бородина
Ульяновск|ул. Ботаническая|20|2|ул. Ботаническая
Ульяновск|ул. Ботаническая|70|3|ул. Ботаническая
Ульяновск|ул. Ботаническая|81|2|ул. Ботаническая
Ульяновск|ул. Ботаническая|103|2|ул. Ботаническая
Ульяновск|ул. Ботаническая|156|1|ул. Ботаническая
Ульяновск|ул. Ботаническая|162|2|ул. Ботаническая
Ульяновск|ул. Брестская|84/1||ул. Брестская, 84/1, 84/2, 84/3
Ульяновск|ул. Брестская|78б|1|ул. Брестская, дом 78 Б
Ульяновск|ул. Брестская|18а||ул. Брестская, ул. 40-летия Комсомола, ул. Днепропетровская, ул. Марии Мусоровой, ул. Светлая, ул. Языкова, 1 пер. Тимуровский, 2 пер. Одесский, 3 пер. Одесский, 1 пер. Днепропетровский, 2 пер. Днепропетровский, 3 пер. Днепропетровский, пер. Нахимова, 1 пер. Светлый, 2 пер. Светлый, 3 пер. Светлый, пер. Языкова
Ульяновск|ул. Брестская|42|5|ул. Брестская, ул. Марии Мусоровой, ул. Языкова, 2 пер. Тимуровский, 1 пер. Деева, 2 пер. Деева, 1 пер. Брестский, 2 пер. Брестский, 3 пер. Брестский
Ульяновск|ул. Варейкиса|2|3|ул. Варейкиса, дом 2
Ульяновск|ул. Варейкиса|3|3|ул. Варейкиса, дома 1, 3, 5, пр-кт Гая, дом 55
Ульяновск|ул. Варейкиса|5а|1|ул. Варейкиса, дом 5а, пр-кт Гая, дом 55
Ульяновск|ул. Варейкиса|9|5|ул. Варейкиса, дома 9, 11, 13, 15 А
Ульяновск|ул. Варейкиса|12|4|ул. Варейкиса, дома 12, 14
Ульяновск|ул. Варейкиса|24|4|ул. Варейкиса, дома 22, 24
Ульяновск|ул. Варейкиса|38|2|ул. Варейкиса, дом 38
Ульяновск|ул. Ватутина|13|2|ул. Ватутина
Ульяновск|ул. Ватутина|64|5|ул. Ватутина
Ульяновск|ул. Ватутина|79|2|ул. Ватутина
Ульяновск|ул. Верхнеполевая|9/2а|3|ул. Верхнеполевая
Ульяновск|ул. Верхнеполевая|24|6|ул. Верхнеполевая
Ульяновск|ул. Верхнечасовенная|42||ул. Верхнечасовенная, ул. Дружная, ул. Привольная
Ульяновск|ул. Ветеринарная|1|1|ул. Ветеринарная
Ульяновск|ул. Ветеринарная (лесхоз)||1|ул. Ветеринарная
Ульяновск|ул. Вокзальная|48||ул. Вокзальная
Ульяновск|ул. Волжская|80А|2|ул. Волжская, ул. XIX Партсъезда, ул. Мелекесская, 1 пер. Мелекесский, 3 пер. Мелекесский, 3 пер. Советский, 4 пер. Советский, пер. XIX Партсъезда, пер. 9 Января
Ульяновск|ул. Вольная|2|2|ул. Вольная, дома 2, 4, ул. Бабушкина, 1 пер. Бабушкина, 2 пер. Бабушкина, 3 пер. Бабушкина
Ульяновск|ул. Воробьева|52|3|ул. Воробьева
Ульяновск|ул. Воровского|30|2|ул. Воровского
Ульяновск|ул. Врача Михайлова|33|7|ул. Врача Михайлова, дома 31, 33, 35, ул. 40 летия Октября, дома 31, 33, 35
Ульяновск|ул. Гагарина|16|2|ул. Гагарина, дом 16
Ульяновск|ул. Гагарина|28|1|ул. Гагарина, дом 28, 26, ул. Кролюницкого, дома 6, 8, 10, 12
Ульяновск|ул. Гафурова|9|4|ул. Фурманова, ул. Гафурова
Ульяновск|ул. Генерала Мельникова|7|3|ул. Камышинская, дома 79, 71, ул. Генерала Мельникова, дома 9, 7, 5
Ульяновск|ул. Герасимова|7|2|ул. Ефремова, дома 40, 42, ул. Станкостроителей, дома 3, 7, ул. Герасимова, дома 1, 3, 5, 7
Ульяновск|ул. Герасимова|11|3|ул. Герасимова, дом 11, 13, 15, ул. Богдана Хмельницкого, дома 2, 4, 6, 8, 10, ул. Ефремова, дома 32, 34
Ульяновск|ул. Герасимова|25|1|ул. Герасимова, дом 25
Ульяновск|ул. Герасимова|29|3|ул. Герасимова, дом 27, 29, 35, 37, ул. Стасова, дом 8, ул. Ефремова, дома 16, 17, 20, 24, 26
Ульяновск|ул. Героев Свири|8|1|ул. Героев Свири, дома 6, 8
Ульяновск|ул. Гончарова|1|4|ул. Гончарова, дом 1
Ульяновск|ул. Гончарова|5|3|ул. Гончарова, дом 5, ул. Карла Либкнехта
