'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО  ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ  "ВОСХОД "'|'ЖСК "ВОСХОД"'|'432013, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. ПРОМЫШЛЕННАЯ, д. Д.84, к. ------------------------, кв. ----------------------------'|'Ульяновская обл, г. Ульяновск, ул. Промышленная'|'7327016570'|''
'ПОТРЕБИТЕЛЬСКОЕ  ОБЩЕСТВО  ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ  "ВЫСОТА"'|'ЖСК "ВЫСОТА"'|'432045, Ульяновская обл, г Ульяновск, ул Рябикова, д. 29А'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 29А'|'7327016675'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ГВОЗДИКА"'|'ЖСК "ГВОЗДИКА"'|'432045, Ульяновская обл, г Ульяновск, ул Рябикова, д. 60'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 60'|'7327014580'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ГЕОРГИН"'|'ЖСК "ГЕОРГИН"'|'432066, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. РЯБИКОВА, д. Д.73, к. -----------, кв. ----------'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 73'|'7327014460'|''
'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ГОРИЗОНТ"'|'ЖСК "ГОРИЗОНТ"'|'432045, Ульяновская обл, г Ульяновск, ул Кузоватовская, д. 51'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 51'|'7327015760'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДЕВИЗ"'|'ЖСК"ДЕВИЗ "'|'432063, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ КАРЛА ЛИБКНЕХТА, д. 6, кв. 40'|'Ульяновская обл, г. Ульяновск, ул. Карла Либкнехта, д. 6'|'7325901057'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДЕЛЬФИН"'|'ЖСК "ДЕЛЬФИН"'|'432049, Ульяновская обл, г Ульяновск, ул Артема, д. 39'|'Ульяновская обл, г. Ульяновск, ул. Артема, д. 39'|'7327014413'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДОСТРОЙ"'|'ЖСК "ДОСТРОЙ"'|'432029, Ульяновская обл, г Ульяновск, ул Корунковой, д. 15'|'Ульяновская обл, г. Ульяновск, ул. Корунковой, д. 15А'|'7327043742'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ДРУЖБА"'|'ЖСК "ДРУЖБА"'|'432042, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. РЯБИКОВА, д. Д.15'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 15'|'7327014540'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ЗАПАДНЫЙ"'|'ЖСК "ЗАПАДНЫЙ"'|'432045, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ КУЗОВАТОВСКАЯ, д. 28'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 28'|'7327014854'|''
'Жилищно-строительный кооператив "Заречный"'|'ЖСК "Заречный"'|'432049, Ульяновская обл, г Ульяновск, ул Аблукова, д. 105'|'Ульяновская обл, г. Ульяновск, ул. Аблукова, д. 105'|'7327015777'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ЗВЕЗДА"'|'ЖСК "ЗВЕЗДА"'|'432026, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. ТЕРЕШКОВОЙ, д. Д.24, к. ------------, кв. ------------'|'Ульяновская обл, г. Ульяновск, ул. Терешковой, д. 24'|'7327014928'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ГЕРОЕВ СВИРИ"'|'ЖСК имени "Героев Свири"'|'432044, Ульяновская обл, р-н Железнодорожный, г Ульяновск, ул Хрустальная, д. 15'|'Ульяновская обл, г. Ульяновск, ул. Хрустальная, д. 15'|'7326007491'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ИМПУЛЬС"'|'ЖСК "ИМПУЛЬС"'|'432013, Ульяновская обл, р-н Засвияжский, г Ульяновск, ул Шолмова, д. 5'|'Ульяновская обл, г. Ульяновск, ул. Шолмова, д. 5, корп. 2'|'7327014477'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ "КЛЁН"'|'ЖСК "Клён "'|'432054, Ульяновская обл, г Ульяновск, ул Ефремова, д. 95'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 95'|'7327014597'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "КОНСТРУКТОР"'|'ЖСК "КОНСТРУКТОР"'|'432042, Ульяновская обл, г Ульяновск, ул Станкостроителей, д. 19'|'Ульяновская обл, г. Ульяновск, ул. Станкостроителей, д. 19'|'7327014163'|''
'ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ  ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "КРИСТАЛЛ"'|'ЖСК "КРИСТАЛЛ"'|'432045, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. КУЗОВАТОВСКАЯ, д. Д.58'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 58'|'7327014614'|''
